"
        Yamaha YZF 600 S Thundercat
              ","
$ 3 500
                                                             
                                                                                   307 580 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/7/9/e79764f292a3c39b56c1d5984007054a_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 8 888
                                                             
                                                                                   781 077 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/7/7/977203dc8c633ae2d03190b08b25fb65_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 5 500
                                                             
                                                                                   483 340 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/4/8/c480444eb65718553687028d571e6386_240x180.jpg,        мотоцикл                    
"
        BMW F 650
              ","
$ 853
                                                             
                                                                                   75 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/2/7/a27f27e03dadaebbfb03e30b8a2105fc_240x180.jpg,        мотоцикл                    
"
        BMW F 650
              ","
$ 740
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/e/e/eee139a928482a71e06938c9ef837d92_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 398
                                                             
                                                                                   35 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/a/5/6a5855d533d854b500b8071de9427aa5_240x180.jpg,        скутер                    
"
        Honda CRF
              ","
$ 4 000
                                                             
                                                                                   351 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/5/6/9568d3a8cafe6c7aff23aa14b2c04574_240x180.jpg,        мотоцикл                    
"
        Harley-Davidson Sportster 883
              ","
$ 8 580
                                                             
                                                                                   754 010 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/d/9/ed954a56a8709ce70395653afc8c9325_240x180.jpg,        мотоцикл                    
"
        Honda CB 1000
              ","
$ 5 900
                                                             
                                                                                   518 492 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/7/7/b775cf42099056321f21ec3af8be05a5_240x180.jpg,        мотоцикл                    
"
        Suzuki DR 650 SE
              ","
$ 6 200
                                                             
                                                                                   544 856 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/8/3/0832af3db256be8dcaf045ab1943b2d4_240x180.jpg,        мотоцикл                    
"
        Indian Scout
              ","
$ 11 600
                                                             
                                                                                   1 019 408 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/8/b/d8b63cc1540b614e698d88827b52ba4b_240x180.jpg,        мотоцикл                    
"
        Honda CBR 600
              ","
$ 4 000
                                                             
                                                                                   351 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/4/1/6416f488ded86a9e683fd9c5c70240e4_240x180.jpg,        мотоцикл                    
"
        Zero SR
              ","
$ 11 000
                                                             
                                                                                   966 680 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/6/6/2661d498087d208a566c2314e2f6d59f_240x180.jpg,        мотоцикл                    
"
        Harley-Davidson Road King
              ","
$ 9 100
                                                             
                                                                                   799 708 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/3/9/939bcb5fb2408f692c2eb73c867d3b05_240x180.jpg,        мотоцикл                    
"
        Yamaha Vino 50
              ","
$ 800
                                                             
                                                                                   70 304 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/f/e/dfe40fabc89038d8a94c74e1646641b3_240x180.jpg,        скутер                    
"
        Honda C 90
              ","
$ 944
                                                             
                                                                                   83 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/2/c/32c0b6bc5894d81f37bf2e3fed021d05_240x180.jpg,        скутер                    
"
        Triumph TT 600
              ","
$ 3 000
                                                             
                                                                                   263 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/1/7/7174c840db84f6e8b82178b6a7e07c7c_240x180.jpg,        мотоцикл                    
"
        Haojin JH125 E
              ","
$ 1 650
                                                             
                                                                                   145 002 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/8/9/489ee65d0260103247acbfd9dacba7d2_240x180.jpg,        мотоцикл                    
"
        Swift Lucky Strike Soft Tail
              ","
$ 4 000
                                                             
                                                                                   351 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/e/b/0eb142303167cab996266481b8a1660e_240x180.jpg,        мотоцикл                    
"
        Motoland XR (Monster)
              ","
$ 1 707
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/8/b/b8b17f89ed477be6dbc6500f5a402e2d_240x180.jpg,        мотоцикл                    
"
        Suzuki SV 1000
              ","
$ 5 200
                                                             
                                                                                   456 976 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/2/5/e25ec6165284c0ef7c14299e3af4579d_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF-R6
              ","
$ 6 000
                                                             
                                                                                   527 280 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/e/9/8e9c25149be1c8fdaf8d5f0163d5689d_240x180.jpg,        мотоцикл                    
"
        Stels 400 GS
              ","
$ 1 821
                                                             
                                                                                   160 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/9/7/a97f8b484c30f3ea6fe6762fd7b72460_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 740
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/b/7/5b7c98ceaabd3c448d11e8a0c2f6bb5f_240x180.jpg,        скутер                    
"
        Yamaha YZF-R1
              ","
$ 9 600
                                                             
                                                                                   843 648 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/8/4c8b9e28873892518cc534af987a58d0_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX-R 600
              ","
$ 4 000
                                                             
                                                                                   351 520 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/8/d/f8d702ea65e7d8b644472482cc7a1f25_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 934
                                                             
                                                                                   170 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/a/8/8a8bac43308d77cc6bac24e2ffa0f83d_240x180.jpg,        мотоцикл                    
"
        Honda Pilot
              ","
$ 626
                                                             
                                                                                   55 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/4/e/e4e7a6cfc3b52877b63414f62fa20bda_240x180.jpg,        багги                    
"
        Yamaha TDM
              ","
$ 5 000
                                                             
                                                                                   439 400 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/a/4/ea428ca9e814f3f40db821a7236d2b23_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 1000 R1
              ","
$ 9 800
                                                             
                                                                                   861 224 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/2/8/028f31afa2adf3f4667ed9df8800ae00_240x180.jpg,        мотоцикл                    
"
        Урал М 100
              ","
$ 1 138
                                                             
                                                                                   100 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/a/5/3a502da7c36d76c7020babff30508300_240x180.jpg,        мотоцикл                    
"
        Daelim VT 125
              ","
$ 1 593
                                                             
                                                                                   140 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/6/d/c6d312da9b2731d6fa6be1741de4cde4_240x180.jpg,        мотоцикл                    
"
        Stels Enduro
              ","
$ 1 422
                                                             
                                                                                   125 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/7/a/67ac4f0ebe80c0cf2f301c11b38b8c3c_240x180.jpg,        мотоцикл                    
"
        Kawasaki KLE
              ","
$ 3 200
                                                             
                                                                                   281 216 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/7/8/e789ed99d2a7780f5855af2eca7c0149_240x180.jpg,        мотоцикл                    
"
        Honda CRF
              ","
$ 4 500
                                                             
                                                                                   395 460 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/f/c/0fc93cb18ac0350b9e4fa6715fc61e95_240x180.jpg,        мотоцикл                    
"
        Kawasaki Z 900
              ","
$ 7 300
                                                             
                                                                                   641 524 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/4/f/74f3c866ea84cd91916f5cdceead9f2c_240x180.jpg,        мотоцикл                    
"
        Suzuki GSX-S 1000
              ","
$ 8 350
                                                             
                                                                                   733 798 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/3/8/8386ea1f75570c0bc3aaee9a69fc3955_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja ZX-6R
              ","
$ 12 000
                                                             
                                                                                   1 054 560 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/d/f/6df7791d3d8276a7b7efe262f7562e71_240x180.jpg,        мотоцикл                    
"
        Ducati 1299 Panigale
              ","
$ 14 500
                                                             
                                                                                   1 274 260 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/7/1/c7130f732a5f11233cf2e7483eb262dd_240x180.jpg,        мотоцикл                    
"
        KTM Adventure
              ","
$ 9 500
                                                             
                                                                                   834 860 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/e/9/9e9f26c58e2b2efbdff05d392201e4d0_240x180.jpg,        мотоцикл                    
"
        Honda XL
              ","
$ 10 350
                                                             
                                                                                   909 558 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/9/6/896b6f665259aeda3a981327ab93eb5d_240x180.jpg,        мотоцикл                    
"
        Ducati Diavel
              ","
$ 9 500
                                                             
                                                                                   834 860 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/2/6/526a1ca03e4e850731cb0540906b1568_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZX
              ","
$ 3 400
                                                             
                                                                                   298 792 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/a/9/2a9ec71f9312b3dda3d2646414affc0b_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZX
              ","
$ 13 500
                                                             
                                                                                   1 186 380 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/6/6/9661991c63d8bd1f1af22bb0b67c4abc_240x180.jpg,        мотоцикл                    
"
        Yamaha YZF 1000 R1
              ","
$ 3 500
                                                             
                                                                                   307 580 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/6/8/a685e91303a737b34c09dbb17b5f753d_240x180.jpg,        мотоцикл                    
"
        BRP Outlander 1000
              ","
$ 25 000
                                                             
                                                                                   2 197 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//d/4/c/d4c06c122e45429474ee9c10555ef9fe_240x180.jpg,        мотовездеход                    
"
        ИЖ ЮНКЕР
              ","
$ 398
                                                             
                                                                                   35 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/5/d/45d4b5367ae4983669789a59a8ed1416_240x180.jpg,        мотоцикл                    
"
        Zongshen CQR-250
              ","
$ 1 707
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/7/9/47952c15ed0839db2fa771c017405d06_240x180.jpg,        мотоцикл                    
"
        Honda VT 750
              ","
$ 7 100
                                                             
                                                                                   623 948 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/1/7/c17f06edea30e427591e6927adb78fb7_240x180.jpg,        мотоцикл                    
"
        Falcon SpeedFire
              ","
$ 2 503
                                                             
                                                                                   220 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/9/7/c9778076005b78f8acb237f4cdd57c4a_240x180.jpg,        мотоцикл                    
"
        Suzuki DR Big 750 S
              ","
$ 2 276
                                                             
                                                                                   200 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/6/2/862b6dbd5f0fa028698cd1f5c3aff25f_240x180.jpg,        мотоцикл                    
"
        Yamaha SR 400
              ","
$ 6 900
                                                             
                                                                                   606 372 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/2/1/e214337ca4f9c9cad3ce414adf668487_240x180.jpg,        мотоцикл                    
"
        Yamaha V-Max
              ","
$ 7 100
                                                             
                                                                                   623 948 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/f/e/8feab24b8dbb64ba97d86f0bcf4a5d70_240x180.jpg,        мотоцикл                    
"
        Yamaha FZ6
              ","
$ 7 000
                                                             
                                                                                   615 160 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/7/0/9702707b13f47ea765f321601628799e_240x180.jpg,        мотоцикл                    
"
        Kawasaki ZR 250
              ","
$ 2 219
                                                             
                                                                                   195 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//b/f/d/bfddc11d9643a733598a7b7eddd802da_240x180.jpg,        мотоцикл                    
"
        Yamaha R
              ","
$ 2 845
                                                             
                                                                                   250 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/b/2/0b27024142fd24593bda3c64c6afa4cf_240x180.jpg,        мотоцикл                    
"
        Kawasaki KFX 50
              ","
$ 1 000
                                                             
                                                                                   87 880 сом
                                                                      ",https://im.mashina.kg/tachka/images//0/9/f/09f043b472a40d34c59afae2bbce32d8_240x180.jpg,        мотовездеход                    
"
        Honda CRF
              ","
$ 5 000
                                                             
                                                                                   439 400 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/b/c/fbcec046cbb495e0d99a2d68032dbf78_240x180.jpg,        мотоцикл                    
"
        BMW R 1200 GS
              ","
$ 6 000
                                                             
                                                                                   527 280 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/6/e/76e994cf58340c12b3fb6fa08f2a3a98_240x180.jpg,        мотоцикл                    
"
        Polaris Sportsman 850
              ","
$ 6 500
                                                             
                                                                                   571 220 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/4/4/444d32c82b40fbf173021985366f9890_240x180.jpg,        мотовездеход                    
"
        Zongshen CQR-250
              ","
$ 1 707
                                                             
                                                                                   150 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/5/1/551bab0c7fdca7f930a2d58dea762036_240x180.jpg,        мотоцикл                    
"
        CFMoto CF250T-5 V5
              ","
$ 1 365
                                                             
                                                                                   120 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/c/d/ecd00f2c83dc31c9f11555f1ad399bb0_240x180.jpg,        мотоцикл                    
"
        Zongshen ZS250GS
              ","
$ 1 593
                                                             
                                                                                   140 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//7/6/1/761ca2615b2d4c6b79b423fbf0cfb1f6_240x180.jpg,        мотоцикл                    
"
        Yamaha YZ 450F
              ","
$ 10 000
                                                             
                                                                                   878 800 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/a/0/aa0d248a7d14c2faf10cd25ad76deba6_240x180.jpg,        мотоцикл                    
"
        Suzuki Boulevard
              ","
$ 10 000
                                                             
                                                                                   878 800 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/b/3/fb34f5616db2b216790b6fcd78ccc3b8_240x180.jpg,        мотоцикл                    
"
        Yamaha Try
              ","
$ 683
                                                             
                                                                                   60 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/7/7/e77feb57f8d5ec6434d244f9a2372a5a_240x180.jpg,        скутер                    
"
        Honda CB 600
              ","
$ 4 200
                                                             
                                                                                   369 096 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/4/5/845efffe64d8feaf553d13453e3fe414_240x180.jpg,        мотоцикл                    
"
        Yamaha FZS 600
              ","
$ 3 900
                                                             
                                                                                   342 732 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/a/0/6a05ce6ba5ba952e2fa31265c2a500ef_240x180.jpg,        мотоцикл                    
"
        Yamaha XJ 600 S
              ","
$ 3 000
                                                             
                                                                                   263 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/1/7/5172c082528fbe6f5ffeaa8c6338ee0b_240x180.jpg,        мотоцикл                    
"
        Honda CBR 1000
              ","
$ 6 500
                                                             
                                                                                   571 220 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/9/a/c9a5637446fef76b8fcf075cfaab1019_240x180.jpg,        мотоцикл                    
"
        Honda CBR 400
              ","
$ 5 500
                                                             
                                                                                   483 340 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/3/5/935ac2cd350a4bb35b435c3119ef5de8_240x180.jpg,        мотоцикл                    
"
        Kawasaki Ninja
              ","
$ 2 048
                                                             
                                                                                   180 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/b/6/1b6c58273f9f3fc127dd2d615c36aea8_240x180.jpg,        мотоцикл                    
"
        Honda Steed
              ","
$ 4 210
                                                             
                                                                                   370 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//e/a/f/eafa083ad5a53e903c259eff9c8c6b87_240x180.jpg,        мотоцикл                    
"
        ИЖ 10-5
              ","
$ 20 000
                                                             
                                                                                   1 757 600 сом
                                                                      ",,        скутер                    
"
        Kawasaki Z 1000
              ","
$ 9 000
                                                             
                                                                                   790 920 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/a/4/6a49907c62ede168c5db708cf0f532ad_240x180.jpg,        мотоцикл                    
"
        Honda Dio
              ","
$ 284
                                                             
                                                                                   25 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/4/3/343e75bb46948f6a3f6630e05edf529b_240x180.jpg,        скутер                    
"
        Honda CBR 600
              ","
$ 3 800
                                                             
                                                                                   333 944 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/0/5/50548f2ea7194836331bda38e9b0a7f8_240x180.jpg,        мотоцикл                    
"
        Donghai 350 F3
              ","
$ 3 000
                                                             
                                                                                   263 640 сом
                                                                      ",https://im.mashina.kg/tachka/images//f/4/7/f47cf8a71f24aacf98fe553578d4f694_240x180.jpg,        мотоцикл                    
"
        Suzuki DL V-Strom
              ","
$ 7 000
                                                             
                                                                                   615 160 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/1/1/111dc08f9a4a45b3ffb89eca52965487_240x180.jpg,        мотоцикл                    
"
        Stels Vortex
              ","
$ 569
                                                             
                                                                                   50 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/0/3/503135c4fb49b95ba770e183074e332a_240x180.jpg,        скутер                    
"
        Hyosung GPS125
              ","
$ 512
                                                             
                                                                                   45 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//9/f/e/9fe61cabb952a901ee811f0279083e85_240x180.jpg,        скутер                    
"
        Lifan LF250
              ","
$ 1 934
                                                             
                                                                                   170 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/5/5/8557b8506ab7d20bbe582ba489e9ab48_240x180.jpg,        мотоцикл                    
"
        CFMoto Jet Max (CF250T-6A)
              ","
$ 740
                                                             
                                                                                   65 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/d/2/6d253dbeb708ccfc82beb1b7d2022b7d_240x180.jpg,        скутер                    
"
        Triumph Tiger
              ","
$ 12 800
                                                             
                                                                                   1 124 864 сом
                                                                      ",https://im.mashina.kg/tachka/images//8/7/7/877056d746274d8d16452661cca8f1c9_240x180.jpg,        мотоцикл                    
"
        BMW F 850 GS
              ","
$ 15 500
                                                             
                                                                                   1 362 140 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/e/9/5e907fdad1d81ebb42548cca76907906_240x180.jpg,        мотоцикл                    
"
        Yamaha Blaster 200
              ","
$ 1 138
                                                             
                                                                                   100 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/b/8/ab88bf5f72012ce34ff2b16e925036e7_240x180.jpg,        мотовездеход                    
"
        Harley-Davidson Sportster 883
              ","
$ 7 200
                                                             
                                                                                   632 736 сом
                                                                      ",https://im.mashina.kg/tachka/images//a/b/d/abd73ad77ca2b90794d470930635a24f_240x180.jpg,        мотоцикл                    
"
        Китай (NoName) Электроскутер
              ","
$ 546
                                                             
                                                                                   48 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//2/8/e/28e659428ef57bf2db36f15df67d7a95_240x180.jpg,        скутер                    
"
        Китай (NoName) Электроскутер
              ","
$ 797
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//1/b/a/1bad53c02dc645d27f00c8e247885de5_240x180.jpg,        скутер                    
"
        Suzuki GSX-R 1000
              ","
$ 4 200
                                                             
                                                                                   369 096 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/c/c/4cc821e94d5dcc144fa29ed90115f324_240x180.jpg,        мотоцикл                    
"
        BMW C 1
              ","
$ 967
                                                             
                                                                                   85 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/3/a/43abf628458c1e1d4d17121c8cfce537_240x180.jpg,        скутер                    
"
        CFMoto Jet Max (CF250T-6A)
              ","
$ 797
                                                             
                                                                                   70 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//6/8/c/68ccdc512174090ec984802c27111297_240x180.jpg,        скутер                    
"
        Honda PCX
              ","
$ 2 700
                                                             
                                                                                   237 276 сом
                                                                      ",https://im.mashina.kg/tachka/images//c/9/e/c9ee8ce4b7e22318b1030bb0cef78b23_240x180.jpg,        скутер                    
"
        Honda Julio
              ","
$ 2 500
                                                             
                                                                                   219 700 сом
                                                                      ",https://im.mashina.kg/tachka/images//5/c/5/5c513c04319e27c56aa20b83e0ddcb80_240x180.jpg,        скутер                    
"
        Honda Scoopy
              ","
$ 1 250
                                                             
                                                                                   109 850 сом
                                                                      ",https://im.mashina.kg/tachka/images//3/f/f/3ff9aafa81e5874ebc45e3529e6d5e83_240x180.jpg,        скутер                    
"
        Урал M 72
              ","
$ 341
                                                             
                                                                                   30 000 сом
                                                                      ",https://im.mashina.kg/tachka/images//4/e/2/4e2e319eb524c8353b45d72b7cff4880_240x180.jpg,        мотоцикл                    
